1.220176021623078366e-01 -2.904769343346882415e-01 1.720817759009743098e+00 1.361452767800364061e-01
-3.897921927790632957e-01 -1.516264629541907993e-01 3.012760222079704509e-01 1.320725470869035523e-01
-5.787172468772416867e-01 6.605043817454518962e-01 7.935749193862816631e-01 1.358598673576636162e-01
-9.168423340951432632e-01 3.563345979017134013e-01 8.358157540735055430e-03 1.624432762044107637e-01
5.435650398945595096e-01 9.835347615623080131e-02 8.672519178987150856e-02 1.948591954085471811e-01
4.514625374246243883e-01 3.144331916586622366e-01 1.251532237938156045e-01 1.222828980934967252e-01
-1.002546636033470051e-01 8.847236459165064293e-01 2.751889591879060348e-01 1.633707980482302924e-01
-3.671207955301840631e-01 -7.516288875200105579e-01 1.415831791992330224e-01 1.895115655146769607e-01
-8.621854961666788331e-01 7.501915928222708807e-01 2.298553576831851575e-01 1.264522052727648227e-01
4.226082274115905424e-01 -3.804907787162750132e-01 1.195982106168658410e+00 1.639826471729939061e-01
